CURR.AGE,NOCOMP,MI.NONFATAL,IHD.NONFATAL,STROKE.NONFATAL,CHF.NONFATAL,AMP.NONFATAL,BLIND.NONFATAL,MI.FATAL,IHD.FATAL,STROKE.FATAL,MI.SUB,IHD.SUB,STROKE.SUB,CHF.SUB,AMP.SUB,BLIND.SUB,CHF.FATAL,AMP.FATAL,BLIND.FATAL,ULCER.FATAL,ULCER.NONFATAL,ULCER.SUB
77,4009.57,8446.35,13975.12,12240.69,5332.67,12682.98,5880.38,2461.63,5206.71,5212.02,5588.91,6365.7,6745.23,6337.65,5874.03,3316.55,0,0,0,0,0,0
78,4009.57,8446.35,13975.12,12240.69,5332.67,12682.98,5880.38,2461.63,5206.71,5212.02,5588.91,6365.7,6745.23,6337.65,5874.03,3316.55,0,0,0,0,0,0
79,4009.57,8446.35,13975.12,12240.69,5332.67,12682.98,5880.38,2461.63,5206.71,5212.02,5588.91,6365.7,6745.23,6337.65,5874.03,3316.55,0,0,0,0,0,0
80,4226.07,8662.84,14191.63,12457.18,5549.17,12899.47,6096.87,2678.13,5423.21,5428.52,5805.41,6582.2,6961.73,6554.15,6090.53,3533.05,0,0,0,0,0,0
81,4226.07,8662.84,14191.63,12457.18,5549.17,12899.47,6096.87,2678.13,5423.21,5428.52,5805.41,6582.2,6961.73,6554.15,6090.53,3533.05,0,0,0,0,0,0
82,4226.07,8662.84,14191.63,12457.18,5549.17,12899.47,6096.87,2678.13,5423.21,5428.52,5805.41,6582.2,6961.73,6554.15,6090.53,3533.05,0,0,0,0,0,0
83,4226.07,8662.84,14191.63,12457.18,5549.17,12899.47,6096.87,2678.13,5423.21,5428.52,5805.41,6582.2,6961.73,6554.15,6090.53,3533.05,0,0,0,0,0,0
84,4226.07,8662.84,14191.63,12457.18,5549.17,12899.47,6096.87,2678.13,5423.21,5428.52,5805.41,6582.2,6961.73,6554.15,6090.53,3533.05,0,0,0,0,0,0
85,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
86,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
87,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
88,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
89,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
90,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
91,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
92,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
93,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
94,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
95,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
96,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
97,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
98,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
99,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
100,4442.57,8879.34,14408.13,12673.68,5765.67,13115.97,6313.37,2894.63,5639.71,5645.02,6021.91,6798.7,7178.22,6770.64,6307.03,3749.55,0,0,0,0,0,0
