CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
67,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,36827,36827,26290
68,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,36827,36827,26290
69,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,36827,36827,26290
70,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
71,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
72,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
73,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
74,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
75,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
76,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
77,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
78,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
79,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,36827,36827,26290
80,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
81,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
82,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
83,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
84,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
85,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
86,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
87,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
88,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
89,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
90,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
91,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
92,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
93,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
94,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
95,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
96,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
97,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
98,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
99,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
100,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,36827,36827,26290
