CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
45,2589.5520121044,11971.8305435927,11354.5080106718,2816.5680979712,9866.10384117035,24690.2869281312,5056.2277550832,16063.239933742,14052.4482211627,5357.318187586,7558.57901059625,6139.1293431839,4910.2577190652,21793.4897767814,17437.4279967025,11379.9983005436,5869.03031011925,5073.1123488017,3444.457118574,3889.2299969781,3285.9598033455,4212.6516663344,26595.7405624796,35544.1395018338,32665.0439406728
46,2589.5520121044,11971.8305435927,11354.5080106718,2816.5680979712,9866.10384117035,24690.2869281312,5056.2277550832,16063.239933742,14052.4482211627,5357.318187586,7558.57901059625,6139.1293431839,4910.2577190652,21793.4897767814,17437.4279967025,11379.9983005436,5869.03031011925,5073.1123488017,3444.457118574,3889.2299969781,3285.9598033455,4212.6516663344,26595.7405624796,35544.1395018338,32665.0439406728
47,2589.5520121044,11971.8305435927,11354.5080106718,2816.5680979712,9866.10384117035,24690.2869281312,5056.2277550832,16063.239933742,14052.4482211627,5357.318187586,7558.57901059625,6139.1293431839,4910.2577190652,21793.4897767814,17437.4279967025,11379.9983005436,5869.03031011925,5073.1123488017,3444.457118574,3889.2299969781,3285.9598033455,4212.6516663344,26595.7405624796,35544.1395018338,32665.0439406728
48,2589.5520121044,11971.8305435927,11354.5080106718,2816.5680979712,9866.10384117035,24690.2869281312,5056.2277550832,16063.239933742,14052.4482211627,5357.318187586,7558.57901059625,6139.1293431839,4910.2577190652,21793.4897767814,17437.4279967025,11379.9983005436,5869.03031011925,5073.1123488017,3444.457118574,3889.2299969781,3285.9598033455,4212.6516663344,26595.7405624796,35544.1395018338,32665.0439406728
49,2589.5520121044,11971.8305435927,11354.5080106718,2816.5680979712,9866.10384117035,24690.2869281312,5056.2277550832,16063.239933742,14052.4482211627,5357.318187586,7558.57901059625,6139.1293431839,4910.2577190652,21793.4897767814,17437.4279967025,11379.9983005436,5869.03031011925,5073.1123488017,3444.457118574,3889.2299969781,3285.9598033455,4212.6516663344,26595.7405624796,35544.1395018338,32665.0439406728
50,2641.8397862004,12024.1183176887,11406.7957847678,2868.8558720672,9918.39161526635,24742.5747022272,5108.5155291792,16115.527707838,14104.7359952587,5409.605961682,7610.86678469225,6191.4171172799,4962.5454931612,21845.7775508774,17489.7157707985,11432.2860746396,5921.31808421525,5125.4001228977,3496.74489267,3941.5177710741,3338.2475774415,4264.9394404304,26648.0283365756,35596.4272759298,32717.3317147688
51,2641.8397862004,12024.1183176887,11406.7957847678,2868.8558720672,9918.39161526635,24742.5747022272,5108.5155291792,16115.527707838,14104.7359952587,5409.605961682,7610.86678469225,6191.4171172799,4962.5454931612,21845.7775508774,17489.7157707985,11432.2860746396,5921.31808421525,5125.4001228977,3496.74489267,3941.5177710741,3338.2475774415,4264.9394404304,26648.0283365756,35596.4272759298,32717.3317147688
52,2641.8397862004,12024.1183176887,11406.7957847678,2868.8558720672,9918.39161526635,24742.5747022272,5108.5155291792,16115.527707838,14104.7359952587,5409.605961682,7610.86678469225,6191.4171172799,4962.5454931612,21845.7775508774,17489.7157707985,11432.2860746396,5921.31808421525,5125.4001228977,3496.74489267,3941.5177710741,3338.2475774415,4264.9394404304,26648.0283365756,35596.4272759298,32717.3317147688
53,2641.8397862004,12024.1183176887,11406.7957847678,2868.8558720672,9918.39161526635,24742.5747022272,5108.5155291792,16115.527707838,14104.7359952587,5409.605961682,7610.86678469225,6191.4171172799,4962.5454931612,21845.7775508774,17489.7157707985,11432.2860746396,5921.31808421525,5125.4001228977,3496.74489267,3941.5177710741,3338.2475774415,4264.9394404304,26648.0283365756,35596.4272759298,32717.3317147688
54,2641.8397862004,12024.1183176887,11406.7957847678,2868.8558720672,9918.39161526635,24742.5747022272,5108.5155291792,16115.527707838,14104.7359952587,5409.605961682,7610.86678469225,6191.4171172799,4962.5454931612,21845.7775508774,17489.7157707985,11432.2860746396,5921.31808421525,5125.4001228977,3496.74489267,3941.5177710741,3338.2475774415,4264.9394404304,26648.0283365756,35596.4272759298,32717.3317147688
55,2641.8397862004,12024.1183176887,11406.7957847678,2868.8558720672,9918.39161526635,24742.5747022272,5108.5155291792,16115.527707838,14104.7359952587,5409.605961682,7610.86678469225,6191.4171172799,4962.5454931612,21845.7775508774,17489.7157707985,11432.2860746396,5921.31808421525,5125.4001228977,3496.74489267,3941.5177710741,3338.2475774415,4264.9394404304,26648.0283365756,35596.4272759298,32717.3317147688
56,2641.8397862004,12024.1183176887,11406.7957847678,2868.8558720672,9918.39161526635,24742.5747022272,5108.5155291792,16115.527707838,14104.7359952587,5409.605961682,7610.86678469225,6191.4171172799,4962.5454931612,21845.7775508774,17489.7157707985,11432.2860746396,5921.31808421525,5125.4001228977,3496.74489267,3941.5177710741,3338.2475774415,4264.9394404304,26648.0283365756,35596.4272759298,32717.3317147688
