,CHF.EVENT,BLIND.EVENT,ULCER.EVENT,AMP1.EVENT,AMP2.EVENT,MI.EVENT,IHD.EVENT,RENAL.EVENT,STROKE.EVENT
1,0.998,0.999,0.997,0.999,1,0.994,0.997,1,0.997
2,0.995989929506546,0.999,0.997,0.997993957703928,1,0.990996978851964,0.997,1,0.994991943605237
3,0.995989929506546,0.99390306122449,0.993947959183673,0.995957235341266,1,0.989985757444972,0.995982653061224,1,0.991946049900323
4,0.995989929506546,0.99390306122449,0.991909091575092,0.995957235341266,0.998974358974359,0.985924277414428,0.992918091051805,1,0.990928669336322
5,0.994957815589959,0.989783255789362,0.988825436368122,0.995957235341266,0.998974358974359,0.982859227847337,0.989831299058898,1,0.987848062074137
6,0.991845330244005,0.985654858476372,0.988825436368122,0.993880160815007,0.998974358974359,0.979784590012569,0.98570270135688,1,0.982697655076879
7,0.989759430495857,0.982545537156258,0.987785661987083,0.993880160815007,0.998974358974359,0.977724054597191,0.98466621060887,1,0.978564331606524
8,0.989759430495857,0.980443835472501,0.985672751480159,0.993880160815007,0.998974358974359,0.973541277893032,0.983613091667043,1,0.977517738738495
9,0.987612446915606,0.97619028304095,0.982465573330007,0.992802199686141,0.998974358974359,0.972485376290111,0.983613091667043,1,0.973276880869782
10,0.984352999896083,0.975116366337934,0.979223112691954,0.990617816408503,0.997875377281318,0.971415535392102,0.981448926448853,1,0.97113545758954
11,0.978766433494856,0.971795879278895,0.974777150772807,0.990617816408503,0.997875377281318,0.967005022178063,0.981448926448853,1,0.966726216011381
12,0.974192758571983,0.968390052599179,0.971360875711688,0.990617816408503,0.996709635018139,0.96474566464961,0.976862716512177,1,0.963338156843117
13,0.971856564906343,0.966067774295584,0.967866771842221,0.988242234114958,0.996709635018139,0.962432125885462,0.974520120069701,1,0.959872911674616
14,0.969471640820683,0.96488241506332,0.966679205251004,0.987029666956535,0.995486678410754,0.962432125885462,0.973324389861027,1,0.953984120805447
15,0.96826583032215,0.962482210050724,0.96547686793104,0.984574369277538,0.995486678410754,0.960038016119578,0.972113787386075,1,0.950424478563636
16,0.964541730974757,0.961248258499377,0.96547686793104,0.984574369277538,0.992934148466111,0.960038016119578,0.968374888203821,1,0.944332013957458
17,0.961979867147467,0.957418584162726,0.960348172749467,0.983266833594567,0.992934148466111,0.957488114350336,0.964516820920141,1,0.941823827997412
18,0.956737470051296,0.953505429186584,0.95511466772086,0.98058763241311,0.992934148466111,0.956183634630512,0.961888709691475,1,0.939257550536929
19,0.955401244534464,0.952173717693307,0.95378070868773,0.977848560814191,0.992934148466111,0.950841826615817,0.960545289705873,1,0.934010301651248
20,0.954008531350012,0.950785709358477,0.95239035780043,0.976423125594345,0.992934148466111,0.94945575981317,0.95634465432815,1,0.932648770599278
21,0.949612178670979,0.949325209036882,0.95239035780043,0.971923479854279,0.991408903998422,0.947997302424824,0.95487561492058,1,0.929783490198051
22,0.945002410813353,0.947789084103165,0.95084927307907,0.971923479854279,0.991408903998422,0.947997302424824,0.95487561492058,1,0.926774482139158
23,0.940285260676182,0.946212063996504,0.95084927307907,0.971923479854279,0.991408903998422,0.943265202745499,0.95487561492058,1,0.923690374045517
24,0.937009005412502,0.942915157850175,0.95084927307907,0.970230233373697,0.989681710785881,0.939978564408406,0.949884975818208,1,0.918862724006951
25,0.931822608703576,0.934216678534214,0.949094938626895,0.966650048010694,0.987855729769671,0.939978564408406,0.94813242051227,1,0.913776767970013
26,0.924470951041221,0.932374042087401,0.947222956499426,0.9609302252414,0.98590729637762,0.936270562181943,0.942522169503322,1,0.910172125887291
27,0.920553701248673,0.928423304620929,0.943209299904089,0.9609302252414,0.98590729637762,0.930319689964685,0.942522169503322,1,0.910172125887291
28,0.916262075601826,0.928423304620929,0.943209299904089,0.958690294646432,0.98590729637762,0.925982535232915,0.942522169503322,1,0.905928899193177
29,0.916262075601826,0.926108034534592,0.94085715701156,0.956299545781977,0.98590729637762,0.923673351853282,0.940171740152939,1,0.89915137625657
30,0.916262075601826,0.9210334699618,0.935701775329305,0.95367954702641,0.98590729637762,0.921142739930396,0.940171740152939,1,0.89668794782847
31,0.908032176719175,0.918275884722393,0.935701775329305,0.947968891056192,0.98590729637762,0.918384827535395,0.93172708380426,1,0.888633864464741
32,0.905045228769441,0.918275884722393,0.935701775329305,0.944850572335612,0.98590729637762,0.918384827535395,0.93172708380426,1,0.882787589040631
33,0.901717856604848,0.911523856158258,0.935701775329305,0.944850572335612,0.98590729637762,0.911631997921164,0.928301616584392,1,0.869805418613563
34,0.897831141705689,0.911523856158258,0.931668578021851,0.944850572335612,0.981657695962199,0.907702549654263,0.928301616584392,1,0.862307096039308
35,0.897831141705689,0.90707739832334,0.931668578021851,0.940241545153487,0.981657695962199,0.907702549654263,0.923773316015687,1,0.862307096039308
36,0.897831141705689,0.902009926824327,0.931668578021851,0.934988799091177,0.981657695962199,0.907702549654263,0.918612571233477,1,0.857489737960876
37,0.891885240104989,0.902009926824327,0.931668578021851,0.928796820289249,0.981657695962199,0.907702549654263,0.918612571233477,1,0.857489737960876
38,0.885327260398335,0.902009926824327,0.931668578021851,0.928796820289249,0.981657695962199,0.907702549654263,0.918612571233477,1,0.838574523152916
39,0.877824487005128,0.894365774902087,0.931668578021851,0.913054501301296,0.981657695962199,0.900010155165667,0.918612571233477,1,0.824361395641849
40,0.877824487005128,0.894365774902087,0.931668578021851,0.903641568298189,0.981657695962199,0.890731699957774,0.918612571233477,1,0.815862824552758
